id,name,hard_start,hard_stop,location,notes
SD1,SD1 — Senior leadership + Troop Guides,2026-10-30T18:00,2026-11-01T16:00,Camp Horne,During Cub-O-Ree. Friday call time is a placeholder.
SD2,SD2 — Full staff,2026-12-11T18:00,2026-12-13T16:00,Camp Horne,Friday call time is a placeholder.
SD3,SD3 — Full staff,2027-01-08T18:00,2027-01-10T16:00,Camp Horne,Friday call time is a placeholder.
SD4,SD4 — Dress rehearsal,2027-02-05T18:00,2027-02-07T16:00,Camp Horne,Final dress rehearsal before Weekend 1. Friday call time is a placeholder.
W1,Course Weekend 1,2027-02-12T18:00,2027-02-15T17:00,Camp Horne,Staff arrive Fri evening. Participants arrive Sat 8:00 AM. Program ends Mon 5:00 PM.
W2,Course Weekend 2,2027-02-19T18:00,2027-02-21T16:00,Camp Horne,Everyone arrives Fri 6:00 PM. Outpost Sat night. Leave Sun 4:00 PM.
